volcano_number;volcano_name;primary_volcano_type;country;region;subregion;elevation;tectonic_settings;evidence_category;major_rock;population_nearby
244000;Vailulu'u;Submarine;United States;New Zealand to Fiji;Samoan and Wallis Islands;low;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;none
257010;Suretamatai;Complex;Vanuatu;Melanesia and Australia;Vanuatu;low;Subduction zone / Intermediate crust (15-25 km);Eruption Observed;Andesite / Basaltic Andesite;few
244040;Savai'i;Shield;Samoa;New Zealand to Fiji;Samoan and Wallis Islands;medium;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;none
233010;Karthala;Shield;Comoros;Middle East and Indian Ocean;Indian Ocean (western);high;Intraplate / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;alot
256010;Tinakula;Stratovolcano;Solomon Islands;Melanesia and Australia;Santa Cruz Islands;low;Subduction zone / Crustal thickness unknown;Eruption Observed;Andesite / Basaltic Andesite;none
223040;Karisimbi;Stratovolcano;DR Congo-Rwanda;Africa and Red Sea;Africa (central);high;Rift zone / Continental crust (>25 km);Eruption Dated;Trachybasalt / Tephrite Basanite;quite alot
223050;Visoke;Stratovolcano;DR Congo-Rwanda;Africa and Red Sea;Africa (central);high;Rift zone / Continental crust (>25 km);Eruption Observed;Trachyandesite / Basaltic Trachyandesite;alot
223020;Nyamuragira;Shield;DR Congo;Africa and Red Sea;Africa (central);high;Rift zone / Continental crust (>25 km);Eruption Observed;Trachybasalt / Tephrite Basanite;quite alot
223030;Nyiragongo;Stratovolcano;DR Congo;Africa and Red Sea;Africa (central);high;Rift zone / Continental crust (>25 km);Eruption Observed;Foidite;quite alot
261170;Kerinci;Stratovolcano;Indonesia;Indonesia;Sumatra;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
