volcano_number;volcano_name;primary_volcano_type;country;region;subregion;elevation;tectonic_settings;evidence_category;major_rock;population_nearby
263251;Muria;Stratovolcano;Indonesia;Indonesia;Java;medium;Subduction zone / Continental crust (>25 km);Eruption Dated;Trachybasalt / Tephrite Basanite;few
263170;Cereme;Stratovolcano;Indonesia;Indonesia;Java;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
263090;Tangkuban Parahu;Stratovolcano;Indonesia;Indonesia;Java;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;alot
263050;Salak;Stratovolcano;Indonesia;Indonesia;Java;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;quite alot
263040;Perbakti-Gagak;Stratovolcano(es);Indonesia;Indonesia;Java;medium;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;quite alot
263060;Gede-Pangrango;Stratovolcano(es);Indonesia;Indonesia;Java;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;quite alot
262000;Krakatau;Caldera;Indonesia;Indonesia;Krakatau;low;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;quite alot
390070;Southern Thule;Stratovolcano(es);United Kingdom;Antarctica;Antarctica and South Sandwich Islands;medium;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Andesite / Basaltic Andesite;none
390080;Bristol Island;Stratovolcano;United Kingdom;Antarctica;Antarctica and South Sandwich Islands;medium;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;none
390081;Montagu Island;Shield;United Kingdom;Antarctica;Antarctica and South Sandwich Islands;medium;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;none
390100;Candlemas Island;Stratovolcano;United Kingdom;Antarctica;Antarctica and South Sandwich Islands;low;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;none
390090;Saunders;Stratovolcano;United Kingdom;Antarctica;Antarctica and South Sandwich Islands;low;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;none
390130;Zavodovski;Stratovolcano;United Kingdom;Antarctica;Antarctica and South Sandwich Islands;low;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;none
390140;Protector Seamounts;Submarine;United Kingdom;Antarctica;Antarctica and South Sandwich Islands;low;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Rhyolite;none
386020;Bouvet;Shield;Norway;Atlantic Ocean;Atlantic Ocean (southern);low;Rift zone / Oceanic crust (< 15 km);Eruption Dated;Basalt / Picro-Basalt;none
234010;Heard;Stratovolcano;Australia;Middle East and Indian Ocean;Indian Ocean (southern);high;Intraplate / Oceanic crust (< 15 km);Eruption Observed;Trachybasalt / Tephrite Basanite;none
